1MDoll6jK4rrk2BcFRP5i7	Hello	Adele	1	1	3	1	0	https://embed.spotify.com/?uri=spotify:track:1MDoll6jK4rrk2BcFRP5i7
1UfBAJfmofTffrae5ls6DA	Hotline Bling	Drake	2	2	15	2	0	https://embed.spotify.com/?uri=spotify:track:1UfBAJfmofTffrae5ls6DA
2GpHJb7xGNBaIDTrBxjIu6	Sorry	Justin Bieber	1	4	3	3	+1	https://embed.spotify.com/?uri=spotify:track:2GpHJb7xGNBaIDTrBxjIu6
0ysmhSqZrkiRkRH4mH8rDn	The Hills	The Weeknd	1	3	25	4	-1	https://embed.spotify.com/?uri=spotify:track:0ysmhSqZrkiRkRH4mH8rDn
3zkWCteF82vJwv0hRLba76	Stitches	Shawn Mendes	4	6	25	5	+1	https://embed.spotify.com/?uri=spotify:track:3zkWCteF82vJwv0hRLba76
1ds2QsfhAAfRiaFMGDzrdb	What Do You Mean?	Justin Bieber	1	5	11	6	-1	https://embed.spotify.com/?uri=spotify:track:1ds2QsfhAAfRiaFMGDzrdb
5NQbUaeTEOGdD6hHcre0dZ	679	Fetty Wap Featuring Remy Boyz	4	9	20	7	+2	https://embed.spotify.com/?uri=spotify:track:5NQbUaeTEOGdD6hHcre0dZ
	Wildest Dreams	Taylor Swift	5	8	12	8	0	
2YlZnw2ikdb837oKMKjBkW	Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend	8	10	19	9	+1	https://embed.spotify.com/?uri=spotify:track:2YlZnw2ikdb837oKMKjBkW
70eDxAyAraNTiD6lx2ZEnH	Ex's & Oh's	Elle King	10	12	19	10	+2	https://embed.spotify.com/?uri=spotify:track:70eDxAyAraNTiD6lx2ZEnH
0yKXxMgfRpYzVeIbPZss5B	Here	Alessia Cara	5	13	15	11	+2	https://embed.spotify.com/?uri=spotify:track:0yKXxMgfRpYzVeIbPZss5B
3X38ErFiKgzUxinBlhwuWm	Can't Feel My Face	The Weeknd	1	14	23	12	+2	https://embed.spotify.com/?uri=spotify:track:3X38ErFiKgzUxinBlhwuWm
3IyeQMpMEqNcEvFQGJ2eps	Focus	Ariana Grande	7	7	2	13	-6	https://embed.spotify.com/?uri=spotify:track:3IyeQMpMEqNcEvFQGJ2eps
7jv4Mb21bdd9SDVOm9Fm9l	Same Old Love	Selena Gomez	5	17	9	14	+3	https://embed.spotify.com/?uri=spotify:track:7jv4Mb21bdd9SDVOm9Fm9l
0kN5Ohxu97lwdDmP5n7FZE	On My Mind	Ellie Goulding	13	18	8	15	+3	https://embed.spotify.com/?uri=spotify:track:0kN5Ohxu97lwdDmP5n7FZE
	Jumpman	Drake & Future	12	16	8	16	0	
0sQLhT32E9ZG2zn5iYR6nN	Locked Away	R. City Featuring Adam Levine	6	11	17	17	-6	https://embed.spotify.com/?uri=spotify:track:0sQLhT32E9ZG2zn5iYR6nN
5RIVoVdkDLEygELLCniZFr	Watch Me	Silento	3	15	38	18	-3	https://embed.spotify.com/?uri=spotify:track:5RIVoVdkDLEygELLCniZFr
4KcVVhAaHxqtX2ANt4b3tc	Lean On	Major Lazer & DJ Snake Featuring M0	4	19	32	19	0	https://embed.spotify.com/?uri=spotify:track:4KcVVhAaHxqtX2ANt4b3tc
1hMFIOaHdvpWK7XI80Wx4d	Tennessee Whiskey	Chris Stapleton	20	23	2	20	+3	https://embed.spotify.com/?uri=spotify:track:1hMFIOaHdvpWK7XI80Wx4d
46GGxd8TVRt6FjUBfCavVT	Renegades	X Ambassadors	17	20	31	21	-1	https://embed.spotify.com/?uri=spotify:track:46GGxd8TVRt6FjUBfCavVT
3twQx3psUMJKj4wna5d1zU	Trap Queen	Fetty Wap	2	24	43	22	+2	https://embed.spotify.com/?uri=spotify:track:3twQx3psUMJKj4wna5d1zU
4OjuzM3rTWp3q60mEldNSF	Hit The Quan	iLoveMemphis	15	22	13	23	-1	https://embed.spotify.com/?uri=spotify:track:4OjuzM3rTWp3q60mEldNSF
0KaA33vmmUEY77YD6L3KFi	Antidote	Travi$ Scott	16	27	10	24	+3	https://embed.spotify.com/?uri=spotify:track:0KaA33vmmUEY77YD6L3KFi
5ypi3yWrqZg5XDyYcscrc3	Die A Happy Man	Thomas Rhett	21	28	8	25	+3	https://embed.spotify.com/?uri=spotify:track:5ypi3yWrqZg5XDyYcscrc3
2LcB304HDrCx8WVDEQn7CK	Good For You	Selena Gomez Featuring A$AP Rocky	5	25	21	26	-1	https://embed.spotify.com/?uri=spotify:track:2LcB304HDrCx8WVDEQn7CK
048thBsGA2IfiubeNWC0v2	I'll Show You	Justin Bieber	19	51	2	27	+24	https://embed.spotify.com/?uri=spotify:track:048thBsGA2IfiubeNWC0v2
3G2grVPTDrTQskKKsoEnRA	White Iverson	Post Malone	14	36	10	28	+8	https://embed.spotify.com/?uri=spotify:track:3G2grVPTDrTQskKKsoEnRA
70OTIpw8x8UXUsuCHW9i1i	Drag Me Down	One Direction	3	26	15	29	-3	https://embed.spotify.com/?uri=spotify:track:70OTIpw8x8UXUsuCHW9i1i
0lLDaAdXcjOQ7Mf2NXzXay	Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz	12	21	12	30	-9	https://embed.spotify.com/?uri=spotify:track:0lLDaAdXcjOQ7Mf2NXzXay
5nN8BwAQDJDguq7Dpd3JQQ	Where Ya At	Future Featuring Drake	28	30	17	31	-1	https://embed.spotify.com/?uri=spotify:track:5nN8BwAQDJDguq7Dpd3JQQ
1ZBdIk5vyZ1bTpZfCiouU5	Confident	Demi Lovato	21	32	6	32	0	https://embed.spotify.com/?uri=spotify:track:1ZBdIk5vyZ1bTpZfCiouU5
7wqSzGeodspE3V6RBD5W8L	See You Again	Wiz Khalifa Featuring Charlie Puth	1	34	36	33	+1	https://embed.spotify.com/?uri=spotify:track:7wqSzGeodspE3V6RBD5W8L
5ByIHT8s38diBQf6dkEWbt	Cheerleader	OMI	1	31	30	34	-3	https://embed.spotify.com/?uri=spotify:track:5ByIHT8s38diBQf6dkEWbt
7zpZQzTwWBN0eOsmb4WPH3	My Way	Fetty Wap Featuring Monty	7	35	19	35	0	https://embed.spotify.com/?uri=spotify:track:7zpZQzTwWBN0eOsmb4WPH3
57n3qOwXcoRMyGFjeqC1Rh	Uptown Funk!	Mark Ronson Featuring Bruno Mars	1	37	53	36	+1	https://embed.spotify.com/?uri=spotify:track:57n3qOwXcoRMyGFjeqC1Rh
5tIJb0C5rIbiDijHl41byE	Photograph	Ed Sheeran	10	33	27	37	-4	https://embed.spotify.com/?uri=spotify:track:5tIJb0C5rIbiDijHl41byE
	How Deep Is Your Love	Calvin Harris & Disciples	27	29	17	38	-9	
4kbj5MwxO1bq9wjT5g9HaA	Shut Up And Dance	WALK THE MOON	4	38	53	39	-1	https://embed.spotify.com/?uri=spotify:track:4kbj5MwxO1bq9wjT5g9HaA
3DnzEB8Ffnp5sjnCbOugUX	Perfect	One Direction	10	44	4	40	+4	https://embed.spotify.com/?uri=spotify:track:3DnzEB8Ffnp5sjnCbOugUX
4DHmHECcCKVLRcGNrbRi7P	Again	Fetty Wap	33	39	14	41	-2	https://embed.spotify.com/?uri=spotify:track:4DHmHECcCKVLRcGNrbRi7P
7lxWzjZCSkXndL8eYKfFWU	Don't	Bryson Tiller	13	53	7	42	+11	https://embed.spotify.com/?uri=spotify:track:7lxWzjZCSkXndL8eYKfFWU
2XxjRGbbwxCeSsSPZrbyoL	Break Up In A Small Town	Sam Hunt	29	42	6	43	-1	https://embed.spotify.com/?uri=spotify:track:2XxjRGbbwxCeSsSPZrbyoL
57EH1IvuQYjfvUQOGTypd4	I'm Comin' Over	Chris Young	33	47	20	44	+3	https://embed.spotify.com/?uri=spotify:track:57EH1IvuQYjfvUQOGTypd4
34gCuhDGsG4bRPIf9bb02f	Thinking Out Loud	Ed Sheeran	2	41	58	45	-4	https://embed.spotify.com/?uri=spotify:track:34gCuhDGsG4bRPIf9bb02f
3uxVUNjF2jtt9zqgJCp9Zh	Smoke Break	Carrie Underwood	43	49	12	46	+3	https://embed.spotify.com/?uri=spotify:track:3uxVUNjF2jtt9zqgJCp9Zh
2h1L35fJnEzxe2lAxmrvkC	Fight Song	Rachel Platten	6	40	31	47	-7	https://embed.spotify.com/?uri=spotify:track:2h1L35fJnEzxe2lAxmrvkC
3853uIOwh2L9F8TkDd1F49	Lay It All On Me	Rudimental Featuring Ed Sheeran	48	59	6	48	+11	https://embed.spotify.com/?uri=spotify:track:3853uIOwh2L9F8TkDd1F49
66hayvUbTotekKU3H4ta1f	Where Are U Now	Skrillex & Diplo With Justin Bieber	8	46	37	49	-3	https://embed.spotify.com/?uri=spotify:track:66hayvUbTotekKU3H4ta1f
62vpWI1CHwFy7tMIcSStl8	No Role Modelz	J. Cole	36	56	13	50	+6	https://embed.spotify.com/?uri=spotify:track:62vpWI1CHwFy7tMIcSStl8
1EPmjXdSdJgP08mrrmnw7h	Burning House	Cam	29	55	18	51	+4	https://embed.spotify.com/?uri=spotify:track:1EPmjXdSdJgP08mrrmnw7h
5pYHLaaHFcON5uvJccnwOi	Strip It Down	Luke Bryan	30	43	15	52	-9	https://embed.spotify.com/?uri=spotify:track:5pYHLaaHFcON5uvJccnwOi
2BeispT0rpKZX9RhI1H8vL	Break Up With Him	Old Dominion	44	48	19	53	-5	https://embed.spotify.com/?uri=spotify:track:2BeispT0rpKZX9RhI1H8vL
0sr5LOMv4x0jmTYfe6oOvP	Back Up	DeJ Loaf Featuring Big Sean	47	54	6	54	0	https://embed.spotify.com/?uri=spotify:track:0sr5LOMv4x0jmTYfe6oOvP
4MFCXniy7I8tj0GXtf3wgC	Adventure Of A Lifetime	Coldplay	13	0	1	55	Hot Shot Debut	https://embed.spotify.com/?uri=spotify:track:4MFCXniy7I8tj0GXtf3wgC
4rujbg8RNFitwtkv1qEq4K	Back To Back	Drake	21	52	15	56	-4	https://embed.spotify.com/?uri=spotify:track:4rujbg8RNFitwtkv1qEq4K
05ljqOaMvnkiWyJWAfjayF	Say It	Tory Lanez	23	64	4	57	+7	https://embed.spotify.com/?uri=spotify:track:05ljqOaMvnkiWyJWAfjayF
5MGNXZUqLX8HCsAplTjzxw	Come Get Her	Rae Sremmurd	56	58	9	58	0	https://embed.spotify.com/?uri=spotify:track:5MGNXZUqLX8HCsAplTjzxw
57gS5wJqIH6sbtBIIiioNY	Gonna	Blake Shelton	54	63	9	59	+4	https://embed.spotify.com/?uri=spotify:track:57gS5wJqIH6sbtBIIiioNY
3y1t2sEahs8idFz2tiYNPO	Let Me See Ya Girl	Cole Swindell	59	61	15	60	+1	https://embed.spotify.com/?uri=spotify:track:3y1t2sEahs8idFz2tiYNPO
1NM1XuictEIvPuscutKMZV	Bet You Can't Do It Like Me	DLOW	45	0	1	61	New	https://embed.spotify.com/?uri=spotify:track:1NM1XuictEIvPuscutKMZV
4W38RXuQNuoTSwVsQA1OGC	Nothin' Like You	Dan + Shay	51	62	14	62	0	https://embed.spotify.com/?uri=spotify:track:4W38RXuQNuoTSwVsQA1OGC
3nW6HqoWdzpdz2oAzkHEoV	Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd	63	66	9	63	+3	https://embed.spotify.com/?uri=spotify:track:3nW6HqoWdzpdz2oAzkHEoV
3vv9phIu6Y1vX3jcqaGz5Z	Roses	The Chainsmokers Featuring ROZES	6	68	4	64	+4	https://embed.spotify.com/?uri=spotify:track:3vv9phIu6Y1vX3jcqaGz5Z
1Fp6l6zY6qrBg7NuvYgp8n	History	One Direction	65	0	1	65	New	https://embed.spotify.com/?uri=spotify:track:1Fp6l6zY6qrBg7NuvYgp8n
33QRsLBBdWDYgCZfWEZqR6	The Fix	Nelly Featuring Jeremih	62	69	7	66	+3	https://embed.spotify.com/?uri=spotify:track:33QRsLBBdWDYgCZfWEZqR6
52izjvF7wwveRG1rDJsGWe	Love Myself	Hailee Steinfeld	30	60	14	67	-7	https://embed.spotify.com/?uri=spotify:track:52izjvF7wwveRG1rDJsGWe
2Xm00M3mcMcdSv7QJBhlvr	Liquor	Chris Brown	60	67	11	68	-1	https://embed.spotify.com/?uri=spotify:track:2Xm00M3mcMcdSv7QJBhlvr
3CRDbSIZ4r5MsZ0YwxuEkn	Stressed Out	twenty one pilots	2	71	8	69	+2	https://embed.spotify.com/?uri=spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
	Big Rings	Drake & Future	52	70	8	70	0	
6xDvaUKHffDiy56v6UmrmI	Hide Away	Daya	23	76	8	71	+5	https://embed.spotify.com/?uri=spotify:track:6xDvaUKHffDiy56v6UmrmI
6rqxivjFHp8K0yMiefG56g	Stay A Little Longer	Brothers Osborne	46	73	6	72	+1	https://embed.spotify.com/?uri=spotify:track:6rqxivjFHp8K0yMiefG56g
4oWmroatZtMmlgc3havMrv	Writing's On The Wall	Sam Smith	71	0	2	73	Re-Entry	https://embed.spotify.com/?uri=spotify:track:4oWmroatZtMmlgc3havMrv
71V8IUxhq9Sc6MtVFKHXQ7	Gonna Know We Were Here	Jason Aldean	54	79	5	74	+5	https://embed.spotify.com/?uri=spotify:track:71V8IUxhq9Sc6MtVFKHXQ7
05cXQMJcrM9msUYu11mOrs	Alive	Sia	56	0	2	75	Re-Entry	https://embed.spotify.com/?uri=spotify:track:05cXQMJcrM9msUYu11mOrs
43PuMrRfbyyuz4QpZ3oAwN	Exchange	Bryson Tiller	26	86	3	76	+10	https://embed.spotify.com/?uri=spotify:track:43PuMrRfbyyuz4QpZ3oAwN
6VZCuvHwk3xmjwgKga0bNi	I Got The Boy	Jana Kramer	56	78	5	77	+1	https://embed.spotify.com/?uri=spotify:track:6VZCuvHwk3xmjwgKga0bNi
0MAubp6s6yJTTaVQtX0VVB	Right Hand	Drake	58	74	9	78	-4	https://embed.spotify.com/?uri=spotify:track:0MAubp6s6yJTTaVQtX0VVB
40DOlZURKwuOV9PnJN7jQX	Anything Goes	Florida Georgia Line	55	65	18	79	-14	https://embed.spotify.com/?uri=spotify:track:40DOlZURKwuOV9PnJN7jQX
0tjtAeucl6tl3EjY0bMj3K	Top Of The World	Tim McGraw	73	82	5	80	+2	https://embed.spotify.com/?uri=spotify:track:0tjtAeucl6tl3EjY0bMj3K
3VgNbGJAVtbT1afQiRBTX4	Cool For The Summer	Demi Lovato	11	72	20	81	-9	https://embed.spotify.com/?uri=spotify:track:3VgNbGJAVtbT1afQiRBTX4
7aVgGkcn3Fp71DFTMZYUne	Comfortable	K Camp	54	77	15	82	-5	https://embed.spotify.com/?uri=spotify:track:7aVgGkcn3Fp71DFTMZYUne
6wfTb2he5ANMQSFnlamnyi	Save It For A Rainy Day	Kenny Chesney	54	75	17	83	-8	https://embed.spotify.com/?uri=spotify:track:6wfTb2he5ANMQSFnlamnyi
5az4fckVxzi1tUyIrwRdos	RGF Island	Fetty Wap	57	81	8	84	-3	https://embed.spotify.com/?uri=spotify:track:5az4fckVxzi1tUyIrwRdos
	Diamonds Dancing	Drake & Future	53	80	8	85	-5	
7L5jgZtAyfiU7elB8DIqCx	Cake By The Ocean	DNCE	9	85	4	86	-1	https://embed.spotify.com/?uri=spotify:track:7L5jgZtAyfiU7elB8DIqCx
491AB3shkpnuQeqHWEplsM	Traveller	Chris Stapleton	87	0	1	87	New	https://embed.spotify.com/?uri=spotify:track:491AB3shkpnuQeqHWEplsM
7DThz7qoNx3WWQJgEipP7W	Halo	Jordan Smith	88	0	1	88	New	https://embed.spotify.com/?uri=spotify:track:7DThz7qoNx3WWQJgEipP7W
0KMYgSe9JWHloFeEVBU6qq	Me, Myself & I	G-Eazy x Bebe Rexha	7	83	2	89	-6	https://embed.spotify.com/?uri=spotify:track:0KMYgSe9JWHloFeEVBU6qq
1kneRrMfS08JwuqKwnX4fl	I Love This Life	LoCash	56	88	3	90	-2	https://embed.spotify.com/?uri=spotify:track:1kneRrMfS08JwuqKwnX4fl
7IAa7vUJ11STN7le8XaxsH	WTF (Where They From)	Missy Elliott Featuring Pharrell Williams	22	0	1	91	New	https://embed.spotify.com/?uri=spotify:track:7IAa7vUJ11STN7le8XaxsH
6FWrlXo99QRmPtOeUSWDjv	Dibs	Kelsea Ballerini	58	90	3	92	-2	https://embed.spotify.com/?uri=spotify:track:6FWrlXo99QRmPtOeUSWDjv
6AoYWCzsDls6c61Zp5qTuU	$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan	71	89	6	93	-4	https://embed.spotify.com/?uri=spotify:track:6AoYWCzsDls6c61Zp5qTuU
6rEzoN8rsbdfyHXAPgpNJG	Stand By You	Rachel Platten	37	0	1	94	New	https://embed.spotify.com/?uri=spotify:track:6rEzoN8rsbdfyHXAPgpNJG
1i1rNVtxbE7rdFfpHuNq2j	Hold My Hand	Jess Glynne	86	87	6	95	-8	https://embed.spotify.com/?uri=spotify:track:1i1rNVtxbE7rdFfpHuNq2j
6Knv6wdA0luoMUuuoYi2i1	My House	Flo Rida	4	0	1	96	New	https://embed.spotify.com/?uri=spotify:track:6Knv6wdA0luoMUuuoYi2i1
4rrkKXxlsrze8bVEzRaTFV	Ginza	J Balvin	84	91	10	97	-6	https://embed.spotify.com/?uri=spotify:track:4rrkKXxlsrze8bVEzRaTFV
3rsOs39rDAYxIOrDTHAgR9	Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign	84	93	3	98	-5	https://embed.spotify.com/?uri=spotify:track:3rsOs39rDAYxIOrDTHAgR9
5f3Z6r36eCwcLzyuHs4qgj	Levels	Nick Jonas	44	84	12	99	-15	https://embed.spotify.com/?uri=spotify:track:5f3Z6r36eCwcLzyuHs4qgj
5RZmUoiuMrOMQlZqy72WCG	Beautiful Drug	Zac Brown Band	52	95	2	100	-5	https://embed.spotify.com/?uri=spotify:track:5RZmUoiuMrOMQlZqy72WCG
